territoire_code;territoire_name;territoire_type
50129;Cherbourg-Octeville;2
47157;Marmande;2
44143;Rezé;2
69029;Bron;2
64024;Anglet;2
40192;Mont-de-Marsan;2
13028;Ciotat (La);2
40088;Dax;2
22113;Lannion;2
42187;Roanne;2
38421;Saint-Martin-d'Hères;2
33550;Villenave-d'Ornon;2
04112;Manosque;2
38151;Échirolles;2
31149;Colomiers;2
32013;Auch;2
69286;Rillieux-la-Pape;2
67180;Haguenau;2
83129;Six-Fours-les-Plages;2
47323;Villeneuve-sur-Lot;2
12145;Millau;2
76322;Grand-Quevilly (Le);2
12202;Rodez;2
27375;Louviers;2
38563;Voiron;2
83118;Saint-Raphaël;2
03310;Vichy;2
54547;Vandoeuvre-lès-Nancy;2
88383;Remiremont;2
69149;Oullins;2
67447;Schiltigheim;2
59295;Hazebrouck;2
91477;Palaiseau;2
06123;Saint-Laurent-du-Var;2
84089;Pertuis;2
50218;Granville;2
59299;Hem;2
54274;Jarville-la-Malgrange;2
76681;Sotteville-lès-Rouen;2
42095;Firminy;2
64422;Oloron-Sainte-Marie;2
13041;Gardanne;2
14327;Hérouville-Saint-Clair;2
84003;Apt;2
31483;Saint-Gaudens;2
04070;Digne-les-Bains;2
06079;Mandelieu-la-Napoule;2
81099;Gaillac;2
64122;Biarritz;2
42005;Andrézieux-Bouthéon;2
69275;Décines-Charpieu;2
29039;Concarneau;2
83062;Garde (La);2
62108;Berck;2
45208;Montargis;2
44190;Saint-Sébastien-sur-Loire;2
33039;Bègles;2
44114;Orvault;2
33529;Teste-de-Buch (La);2
83144;Valette-du-Var (La);2
38317;Pont-de-Claix (Le);2
45284;Saint-Jean-de-Braye;2
33192;Gradignan;2
33069;Bouscat (Le);2
76410;Maromme;2
65286;Lourdes;2
34028;Bédarieux;2
45147;Fleury-les-Aubrais;2
57480;Montigny-lès-Metz;2
59368;Madeleine (La);2
31069;Blagnac;2
34270;Saint-Jean-de-Védas;2
38169;Fontaine;2
56098;Lanester;2
33119;Cenon;2
76498;Petit-Quevilly (Le);2
26108;Crest;2
28218;Lucé;2
59410;Mons-en-Baroeul;2
09122;Foix;2
59507;Ronchin;2
66008;Argelès-sur-Mer;2
66037;Canet-en-Roussillon;2
59360;Loos;2
69204;Saint-Genis-Laval;2
74256;Sallanches;2
33249;Lormont;2
59163;Croix;2
35047;Bruz;2
38382;Saint-Égrève;2
33162;Eysines;2
59646;Wasquehal;2
67267;Lingolsheim;2
44069;Guérande;2
33167;Floirac;2
73181;Moûtiers;2
29233;Quimperlé;2
05023;Briançon;2
76451;Mont-Saint-Aignan;2
66149;Prades;2
26058;Bourg-lès-Valence;2
64483;Saint-Jean-de-Luz;2
74093;Cran-Gevrier;2
54482;Saint-Max;2
34154;Mauguio;2
40310;Soustons;2
73054;Bourg-Saint-Maurice;2
56162;Ploemeur;2
59220;Faches-Thumesnil;2
67043;Bischheim;2
73179;Motte-Servolex (La);2
54115;Champigneulles;2
74280;Thônes;2
59648;Wattignies;2
64260;Hendaye;2
29042;Crozon;2
34344;Le Grau-du-Roi;2
76157;Canteleu;2
66164;Rivesaltes;2
45285;Saint-Jean-de-la-Ruelle;2
40312;Tarnos;2
31446;Ramonville-Saint-Agne;2
21166;Chenôve;2
66028;Cabestany;2
49015;Avrillé;2
54304;Laxou;2
34057;Castelnau-le-Lez;2
83123;Sanary-sur-Mer;2
34129;Lattes;2
66049;Céret;2
33056;Blanquefort;2
66124;Font-Romeu-Odeillo-Via;2
42044;Chambon-Feugerolles (Le);2
54578;Villers-lès-Nancy;2
49246;Ponts-de-Cé (Les);2
85194;Sables-d'Olonne (Les);2
66210;Thuir;2
22187;Plérin;2
22168;Perros-Guirec;2
37072;Chinon;2
40065;Capbreton;2
64129;Billère;2
38485;Seyssinet-Pariset;2
17161;La Flotte;2
65025;Argelès-Gazost;2
83090;Ollioules;2
68166;Kingersheim;2
49353;Trélazé;2
05046;Embrun;2
34079;Clermont-l'Hérault;2
74056;Chamonix-Mont-Blanc;2
17385;Saint-Pierre-d'Oléron;2
64125;Bidart;2
59527;Saint-André-lez-Lille;2
83098;Pradet (Le);2
14220;Deauville;2
37195;Riche (La);2
07102;Guilherand-Granges;2
67204;Hoenheim;2
31022;Aucamville;2
38548;Villard-de-Lans;2
29235;Relecq-Kerhuon (Le);2
33009;Arcachon;2
35281;Saint-Jacques-de-la-Lande;2
88196;Gérardmer;2
83036;Cavalaire-sur-Mer;2
76216;Déville-lès-Rouen;2
44132;Pornichet;2
35055;Chantepie;2
59386;Marquette-lez-Lille;2
66024;Le Boulou;2
56243;Séné;2
17028;Aytré;2
73303;Ugine;2
34327;Vendargues;2
31042;Bagnères-de-Luchon;2
74173;Megève;2
59143;Chapelle-d'Armentières (La);2
34090;Crès (Le);2
73006;Aime;2
74191;Morzine;2
83009;Bandol;2
56186;Quiberon;2
14715;Trouville-sur-Mer;2
66148;Port-Vendres;2
65031;Arreau;2
38179;Gières;2
74236;Saint-Gervais-les-Bains;2
73055;Bozel;2
17093;Le Château-d'Oléron;2
11202;Leucate;2
34192;Palavas-les-Flots;2
66016;Banyuls-sur-Mer;2
33090;Canéjan;2
73261;Saint-Michel-de-Maurienne;2
32319;Plaisance;2
44135;Pouliguen (Le);2
74258;Samoëns;2
74001;Abondance;2
17140;Dolus-d'Oléron;2
92012;Boulogne-Billancourt;3
78646;Versailles;3
92063;Rueil-Malmaison;3
92051;Neuilly-sur-Seine;3
78551;Saint-Germain-en-Laye;3
78158;Chesnay (Le);3
69088;Fontaines-sur-Saône;3
78146;Chatou;3
92064;Saint-Cloud;3
78372;Marly-le-Roi;3
91272;Gif-sur-Yvette;3
92072;Sèvres;3
78358;Maisons-Laffitte;3
78418;Montesson;3
78481;Pecq (Le);3
78126;Celle-Saint-Cloud (La);3
92071;Sceaux;3
78322;Jouy-en-Josas;3
92033;Garches;3
69081;Écully;3
78455;Noisy-le-Roi;3
69116;Limonest;3
06105;Roquefort-les-Pins;3
78650;Vésinet (Le);3
78686;Viroflay;3
91645;Verrières-le-Buisson;3
78133;Chambourcy;3
92077;Ville-d'Avray;3
13032;Éguilles;3
78674;Villepreux;3
94048;Marolles-en-Brie;3
78688;Voisins-le-Bretonneux;3
69040;Champagne-au-Mont-d'Or;3
06044;Colle-sur-Loup (La);3
78466;Orgeval;3
78190;Croissy-sur-Seine;3
91600;Soisy-sur-Seine;3
59090;Bondues;3
78575;Saint-Rémy-lès-Chevreuse;3
78160;Chevreuse;3
13113;Venelles;3
01143;Divonne-les-Bains;3
92076;Vaucresson;3
78092;Bougival;3
78350;Louveciennes;3
78420;Montfort-l'Amaury;3
92048;Meudon;4
78490;Plaisir;4
77171;Esbly;4
77186;Fontainebleau;4
59378;Marcq-en-Baroeul;4
76447;Montivilliers;4
60141;Chantilly;4
37214;Saint-Cyr-sur-Loire;4
78423;Montigny-le-Bretonneux;4
74112;Épagny;4
34123;Juvignac;4
31113;Castanet-Tolosan;4
91425;Montlhéry;4
69010;L'Arbresle;4
74011;Annecy-le-Vieux;4
67551;Wolfisheim;4
95313;Isle-Adam (L');4
44215;Vertou;4
95637;Vauréal;4
78517;Rambouillet;4
57447;Marly;4
30011;Angles (Les);4
76108;Bois-Guillaume-Bihorel;4
33449;Saint-Médard-en-Jalles;4
38562;Vizille;4
69143;Neuville-sur-Saône;4
31467;Saint-Alban;4
69244;Tassin-la-Demi-Lune;4
76429;Mesnil-Esnard (Le);4
77058;Bussy-Saint-Georges;4
31506;Saint-Orens-de-Gameville;4
45232;Olivet;4
69069;Craponne;4
74268;Seynod;4
74242;Saint-Jorioz;4
38397;Saint-Ismier;4
31488;Saint-Jean;4
51172;Cormontreuil;4
78383;Maurepas;4
77407;Saint-Fargeau-Ponthierry;4
31557;Tournefeuille;4
68271;Riedisheim;4
94071;Sucy-en-Brie;4
78640;Vélizy-Villacoublay;4
29212;Plouzané;4
59449;Orchies;4
33519;Taillan-Médoc (Le);4
06157;Vence;4
78380;Maule;4
77350;Ozoir-la-Ferrière;4
78310;Houdan;4
77449;Serris;4
91386;Mennecy;4
44035;Chapelle-sur-Erdre (La);4
74119;Évian-les-Bains;4
63075;Chamalières;4
78401;Meulan-en-Yvelines;4
63070;Ceyrat;4
95428;Montmorency;4
69072;Dardilly;4
90099;Valdoie;4
91338;Limours;4
69027;Brignais;4
95563;Saint-Leu-la-Forêt;4
31421;Pins-Justaret;4
01173;Gex;4
69064;Condrieu;4
44026;Carquefou;4
38189;Heyrieux;4
74096;Cruseilles;4
69202;Sainte-Foy-lès-Lyon;4
44055;Baule-Escoublac (La);4
64132;Bizanos;4
38511;Le Touvet;4
62491;Laventie;4
91216;Épinay-sur-Orge;4
38150;Domène;4
31490;Saint-Jory;4
74224;Roche-sur-Foron (La);4
67348;Obernai;4
69089;Francheville;4
60612;Senlis;4
64335;Lescar;4
69115;Limas;4
91665;Ville-du-Bois (La);4
84099;Robion;4
14228;Douvres-la-Délivrande - Luc-sur-Mer;4
44209;Treillières;4
34255;Saint-Gély-du-Fesc;4
74243;Saint-Julien-en-Genevois;4
95652;Viarmes;4
78642;Verneuil-sur-Seine;4
68278;Rixheim;4
13002;Allauch;4
01427;Trévoux;4
91226;Étréchy;4
33199;Gujan-Mestras;4
42279;Saint-Just-Saint-Rambert;4
38318;Pont-Évêque;4
14101;Bretteville-sur-Odon;4
13015;Bouc-Bel-Air;4
63032;Beaumont;4
30351;Villeneuve-lès-Avignon;4
64405;Morlaàs;4
92022;Chaville;4
68309;Sierentz;4
91200;Dourdan;4
74220;Reignier-Ésery;4
06085;Mougins;4
59653;Wavrin;4
74105;Douvaine;4
38545;Vif;4
34058;Castries;4
69283;Mions;4
31282;Launaguet;4
83016;Beausset (Le);4
69260;Vernaison;4
38229;Meylan;4
64519;Serres-Castet;4
69009;Anse;4
33005;Andernos-les-Bains;4
83112;Saint-Cyr-sur-Mer;4
44158;Saint-Étienne-de-Montluc;4
81140;Lavaur;4
31588;Villeneuve-Tolosane;4
49020;Beaucouzé;4
68374;Wintzenheim;4
37208;Saint-Avertin;4
68145;Horbourg-Wihr;4
27448;Pacy-sur-Eure;4
91105;Breuillet;4
63014;Aubière;4
38006;Allevard;4
50402;Les Pieux;4
68195;Lutterbach;4
33122;Cestas;4
91405;Milly-la-Forêt;4
31187;Fonsorbes;4
67309;Mundolsheim;4
77487;Vaux-le-Pénil;4
68082;Ensisheim;4
59067;Bergues;4
31157;Cugnaux;4
21278;Fontaine-lès-Dijon;4
31424;Plaisance-du-Touch;4
21540;Saint-Apollinaire;4
73087;Cognin;4
69277;Genas;4
78643;Vernouillet;4
91471;Orsay;4
84026;Cadenet;4
91573;Saint-Pierre-du-Perray;4
25532;Saône;4
13046;Gréasque;4
69255;Vaugneray;4
38516;Tronche (La);4
31044;Balma;4
38565;Voreppe;4
31417;Pibrac;4
35051;Cesson-Sévigné;4
91097;Boussy-Saint-Antoine;4
42323;Veauche;4
69141;Mornant;4
26064;Chabeuil;4
38314;Pontcharra;4
68118;Habsheim;4
42302;Sorbiers;4
32160;L'Isle-Jourdain;4
06161;Villeneuve-Loubet;4
73222;Saint-Alban-Leysse;4
37109;Fondettes;4
13110;Trets;4
69291;Saint-Symphorien-d'Ozon;4
44204;Thouaré-sur-Loire;4
37050;Chambray-lès-Tours;4
94055;Ormesson-sur-Marne;4
13031;Destrousse (La);4
57323;Hettange-Grande;4
95039;Auvers-sur-Oise;4
78397;Mesnil-Saint-Denis (Le);4
13104;Sausset-les-Pins - Carry-le-Rouet;4
06095;Peymeinade;4
78073;Bois-d'Arcy;4
44009;Basse-Goulaine;4
57412;Longeville-lès-Metz;4
59421;Mouvaux;4
59168;Cysoing;4
01419;Thoiry;4
29189;Plougastel-Daoulas;4
59508;Roncq;4
54328;Ludres;4
17264;Nieul-sur-Mer;4
59352;Linselles;4
78265;Garancières - La Queue-les-Yvelines;4
06152;Valbonne;4
31445;Quint-Fonsegrives;4
30062;Calvisson;4
91312;Igny;4
38158;Eybens;4
01354;Saint-Genis-Pouilly;4
31291;Léguevin;4
84081;Morières-lès-Avignon;4
64348;Lons;4
91122;Bures-sur-Yvette;4
07281;Saint-Péray;4
31150;Cornebarrieu;4
95394;Méry-sur-Oise;4
31232;Grenade;4
13112;Velaux;4
13053;Mallemort;4
33238;Léognan;4
13040;Fuveau;4
69287;Saint-Laurent-de-Mure;4
91661;Villebon-sur-Yvette;4
67471;Souffelweyersheim;4
13007;Auriol;4
31056;Beauzelle;4
33213;La Brède;4
13119;Carnoux-en-Provence;4
31561;Union (L');4
26037;Beaumont-lès-Valence;4
64061;Artix;4
34247;Saint-Clément-de-Rivière;4
31433;Portet-sur-Garonne;4
71118;Châtenoy-le-Royal;4
45274;Saint-Denis-en-Val;4
78624;Triel-sur-Seine;4
78537;Saint-Arnoult-en-Yvelines;4
34022;Baillargues;4
38140;Crolles;4
37018;Ballan-Miré;4
31182;Fenouillet;4
13042;Gémenos;4
27562;Saint-Marcel;4
78217;Épône;4
77438;Saint-Thibault-des-Vignes;4
57487;Moulins-lès-Metz;4
78356;Magny-les-Hameaux;4
13069;Pélissanne;4
62239;Coquelles;4
01249;Miribel;4
74218;Publier;4
67282;Marlenheim;4
56107;Larmor-Plage;4
33236;Lège-Cap-Ferret;4
13087;Rousset;4
06084;Mouans-Sartoux;4
56078;Guidel;4
78486;Le Perray-en-Yvelines;4
34120;Jacou;4
13091;Saint-Cannat;4
34276;Saint-Mathieu-de-Tréviers;4
78220;Les Essarts-le-Roi;4
83034;Carqueiranne;4
06018;Biot;4
69271;Chassieu;4
94075;Villecresnes;4
31572;Venerque;4
33200;Haillan (Le);4
13050;Lambesc;4
77037;Bois-le-Roi;4
13092;Saint-Chamas;4
42222;Saint-Galmier;4
77067;Cesson;4
64230;Gan;4
67411;Rosheim;4
42275;Saint-Priest-en-Jarez;4
13019;Cabriès;4
34077;Clapiers;4
42168;Pélussin;4
35278;Saint-Grégoire;4
77495;Vert-Saint-Denis;4
84133;La Tour-d'Aigues;4
77249;Lésigny;4
13086;Roquevaire;4
34198;Pérols;4
13051;Lançon-Provence;4
37022;Beaumont-en-Véron;4
91540;Saint-Chéron;4
60482;Orry-la-Ville;4
67519;La Wantzenau;4
59466;Pont-à-Marcq;4
45286;Saint-Jean-le-Blanc;4
91340;Lisses;4
59343;Lesquin;4
67495;Truchtersheim;4
62604;Neufchâtel-Hardelot;4
50416;Querqueville;4
13035;Eyguières;4
33214;Lacanau;4
13022;Cassis;4
31358;Montastruc-la-Conseillère;4
67506;Vendenheim;4
35334;Thorigné-Fouillard;4
13037;La Fare-les-Oliviers;4
17200;Lagord;4
33273;Martignas-sur-Jalle;4
33422;Saint-Jean-d'Illac;4
44194;Sautron;4
26124;Étoile-sur-Rhône;4
38486;Seyssins;4
01333;Saint-André-de-Corcy;4
31526;Salvetat-Saint-Gilles (La);4
06065;Gaude (La);4
62861;Vimy;4
76103;Bonsecours;4
71070;Buxy;4
71221;Givry;4
31573;Verfeil;4
78168;Coignières;4
13098;Saint-Mitre-les-Remparts;4
40133;Labenne;4
56003;Arradon;4
06159;Villefranche-sur-Mer;4
57413;Longeville-lès-Saint-Avold;4
62826;Touquet-Paris-Plage (Le);4
31254;Labège;4
31458;Roques;4
68224;Mulhouse;5
34032;Béziers;5
08105;Charleville-Mézières;5
59512;Roubaix;5
59183;Dunkerque;5
84007;Avignon;5
90010;Belfort;5
11069;Carcassonne;5
62193;Calais;5
59122;Cambrai;5
02691;Saint-Quentin;5
02722;Soissons;5
76217;Dieppe;5
26198;Montélimar;5
25388;Montbéliard;5
2B033;Bastia;5
86066;Châtellerault;5
89387;Sens;5
02408;Laon;5
57630;Sarrebourg;5
83061;Fréjus;5
34145;Lunel;5
54431;Pont-à-Mousson;5
52448;Saint-Dizier;5
80001;Abbeville;5
59139;Caudry;5
71306;Montceau-les-Mines;5
59392;Maubeuge;5
13056;Martigues;5
57672;Thionville;5
01283;Oyonnax;5
57631;Sarreguemines;5
30243;Saint-Christol-lès-Alès;5
62119;Béthune;5
18279;Vierzon;5
59155;Coudekerque-Branche;5
11203;Lézignan-Corbières;5
57606;Saint-Avold;5
84035;Cavaillon;5
34301;Sète;5
08409;Sedan;5
68063;Thann - Cernay;5
13047;Istres;5
69256;Vaulx-en-Velin;5
62160;Boulogne-sur-Mer;5
57306;Hayange;5
59178;Douai;5
71153;Le Creusot;5
59650;Wattrelos;5
84087;Orange;5
02738;Tergnier;5
62510;Liévin;5
82033;Castelsarrasin;5
28134;Dreux;5
62048;Auchel;5
59526;Saint-Amand-les-Eaux;5
76231;Elbeuf;5
62498;Lens;5
88413;Saint-Dié-des-Vosges;5
62133;Billy-Montigny;5
62178;Bruay-la-Buissière;5
60175;Creil;5
57227;Forbach;5
84031;Carpentras;5
76255;Eu;5
27681;Vernon;5
42207;Saint-Chamond;5
25580;Valentigney;5
60471;Noyon;5
51649;Vitry-le-François;5
61214;L'Aigle;5
10323;Romilly-sur-Seine;5
76259;Fécamp;5
30032;Beaucaire;5
02381;Hirson;5
13117;Vitrolles;5
30028;Bagnols-sur-Cèze;5
27467;Pont-Audemer;5
54329;Lunéville;5
13054;Marignane;5
62895;Wingles;5
2B207;Penta-di-Casinca;5
59172;Denain;5
66065;Elne;5
60463;Nogent-sur-Oise;5
58086;Cosne-Cours-sur-Loire;5
80620;Péronne;5
59273;Gravelines;5
54280;Joeuf;5
59008;Aniche;5
59544;Saint-Saulve;5
62014;Aire-sur-la-Lys;5
02173;Chauny;5
60509;Pont-Sainte-Maxence;5
10081;Chapelle-Saint-Luc (La);5
57240;Freyming-Merlebach;5
76575;Saint-Étienne-du-Rouvray;5
62771;Sallaumines;5
76165;Caudebec-lès-Elbeuf;5
62643;Outreau;5
57160;Creutzwald;5
60636;Thourotte;5
06155;Vallauris;5
59249;Fourmies;5
62427;Hénin-Beaumont;5
59179;Douchy-les-Mines;5
59036;Avesnes-sur-Helpe;5
76384;Lillebonne;5
70310;Lure;5
84019;Bollène;5
30334;Uzès;5
76114;Bolbec;5
66180;Saint-Laurent-de-la-Salanque;5
25031;Audincourt;5
59017;Armentières;5
34108;Frontignan;5
62186;Bully-les-Mines;5
45155;Gien;5
69091;Givors;5
13063;Miramas;5
45068;Châlette-sur-Loing;5
84138;Valréas;5
11076;Castelnaudary;5
62525;Longuenesse;5
59324;Jeumont;5
59481;Le Quesnoy;5
16374;Soyaux;5
59153;Condé-sur-l'Escaut;5
83023;Brignoles;5
33138;Coutras;5
30202;Pont-Saint-Esprit;5
34003;Agde;5
59569;Sin-le-Noble;5
2A247;Porto-Vecchio;5
83073;Le Luc;5
27701;Val-de-Reuil;5
80253;Doullens;5
89257;Migennes;5
90033;Delle;5
33240;Lesparre-Médoc;5
84054;Isle-sur-la-Sorgue (L');5
02340;Gauchy;5
59327;Lallaing;5
59400;Merville;5
62560;Marquise;5
83115;Sainte-Maxime;5
47106;Fumel;5
59574;Somain;5
02095;Bohain-en-Vermandois;5
62270;Divion;5
09160;Lavelanet;5
62065;Avion;5
80410;Ham;5
62497;Leforest;5
59033;Aulnoye-Aymeries;5
62126;Beuvry;5
57751;Woippy;5
38193;Isle-d'Abeau (L');5
57591;Rombas;5
80685;Roye;5
59271;Grande-Synthe;5
91086;Bondoufle;5
59279;Halluin;5
26165;Livron-sur-Drôme;5
84129;Sorgues;5
